arabinose,butyrate,deoxyribose,glucuronic_acid,glycerol,mannitol,mannose,melibiose,propionate,raffinose
7.941745566883461,22.620287130115106,0.0,28.626228735820245,19.92123368783103,14.466708038600272,6.611661064423918,0.0,16.88710808405083,0.0
8.137228550325801,15.331205217821834,0.0,27.524425301252677,17.583957182015258,10.353602787188379,3.829693658243925,0.0,14.919973466183738,0.0
7.398958956515333,13.763532581018923,0.0,31.479437332040828,14.748612590232533,10.131761629976845,9.699766305039923,0.0,19.439332812452008,0.0
21.18033391940982,1.9448855533255305,0.0,0.0,18.963461989667145,17.37955662988175,15.682390219810852,0.0,2.0732835928447853,0.0
0.0,0.0,13.809966544946912,0.0,18.31582052760492,19.522417147568415,11.870990835417244,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.899268699804193,21.477693169662913,24.104689562313336,0.0,0.0,0.0
8.399553386764886,0.0,0.0,0.0,11.124714886905535,20.635253732843008,16.450076331092614,0.0,0.0,0.0
0.0,0.0,0.0,0.0,24.527112689727154,25.77424569825476,14.966983819602186,10.3681389739434,0.0,0.0
0.0,0.0,0.0,0.0,18.039409303118614,17.773645492961233,17.983636267238982,0.0,0.0,0.0
3.163586639810912,0.0,0.0,0.0,14.996348191990206,15.424959196352255,0.0,0.0,18.1613646445591,0.0
10.006032973043844,0.0,4.851672561022469,2.907552857192788,8.464752682506058,8.563964469121258,8.6933880033371,9.27961507026482,0.0,7.387132691522131
0.0,8.129092169061924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.135457370945172,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,8.427674199867058,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9.985554978196754,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.843226519714145,0.0,0.0,0.0,0.0,0.0
8.888871108327775,0.0,0.0,0.0,0.0,0.0,11.294684380073933,0.0,0.0,0.0
10.334500497511103,0.0,0.0,0.0,8.491261273078115,9.502710132746298,5.619978306143201,0.0,0.0,0.0
0.0,9.709883565440542,0.0,0.0,0.0,14.088860115128181,0.0,0.0,11.147957347763775,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.229878702889692,0.0
